Date,MMM,AOS,ABT,ABBV,ACN
2023-09-15,80.00763702392578,64.73826599121094,98.22737884521484,142.62547302246094,303.513671875
2023-09-18,79.9917984008789,65.11640167236328,97.51293182373047,144.3318634033203,306.76702880859375
2023-09-19,79.35052490234375,64.9709701538086,97.19432830810547,143.9099884033203,308.1751403808594
2023-09-20,78.36883544921875,64.3310546875,96.81779479980469,144.02247619628906,307.6605224609375
2023-09-21,77.18131256103516,63.186946868896484,95.51438903808594,143.85369873046875,302.9989929199219
2023-09-22,76.82505798339844,62.54705047607422,94.7613296508789,143.206787109375,306.9709167480469
2023-09-25,75.04377746582031,62.508262634277344,94.10482025146484,144.99752807617188,307.8450012207031
2023-09-26,74.32333374023438,63.47783279418945,92.90762329101562,144.30374145507812,301.6490478515625
2023-09-27,73.99082946777344,63.45844268798828,92.2317886352539,143.5724334716797,305.3103332519531
2023-09-28,73.8324966430664,64.45709991455078,94.73236083984375,142.7473602294922,292.0929260253906
2023-09-29,74.11750030517578,64.11774444580078,93.50621032714844,139.75643920898438,298.2500915527344
2023-10-02,71.42576599121094,64.0401840209961,92.42489624023438,138.9969940185547,299.3668212890625
2023-10-03,70.29365539550781,63.38087463378906,92.48281860351562,138.22817993164062,297.39544677734375
2023-10-04,69.68407440185547,64.22440338134766,92.34764862060547,138.47195434570312,300.4642639160156
2023-10-05,69.53365325927734,64.05957794189453,92.87865447998047,138.2469482421875,300.7264709472656
2023-10-06,69.98490142822266,65.2424545288086,93.53517150878906,138.9876251220703,303.1834716796875
2023-10-09,70.49950408935547,66.54166412353516,93.41931915283203,139.80335998535156,303.0086669921875
2023-10-10,71.75827026367188,67.15251922607422,94.19169616699219,139.59707641601562,303.3097229003906
2023-10-11,71.56035614013672,68.92681121826172,89.44156646728516,140.01898193359375,304.7822570800781
2023-10-12,70.47575378417969,67.8021240234375,87.55818939208984,140.43565368652344,296.8052673339844
2023-10-13,70.20658111572266,68.12208557128906,88.21834564208984,140.1136932373047,294.3381042480469
2023-10-16,71.2041015625,69.71217346191406,89.49010467529297,139.4224090576172,297.7609558105469
2023-10-17,71.6870346069336,69.6443099975586,89.45127868652344,141.26898193359375,300.5987854003906
2023-10-18,69.98490142822266,66.38654327392578,92.77147674560547,141.36367797851562,296.2299499511719
2023-10-19,68.9240493774414,64.9709701538086,92.65498352050781,137.80308532714844,295.4205017089844
2023-10-20,68.5202865600586,64.6316146850586,93.95588684082031,138.47540283203125,289.6279602050781
2023-10-23,67.76819610595703,64.36982727050781,92.98505401611328,137.05496215820312,287.6191101074219
2023-10-24,71.34660339355469,64.61222076416016,92.04336547851562,138.55117797851562,288.7405090332031
2023-10-25,70.7686767578125,63.20634841918945,90.83955383300781,137.55686950683594,285.41522216796875
2023-10-26,70.18283081054688,67.01676177978516,91.23757934570312,137.50003051757812,284.79107666015625
2023-10-27,69.2882308959961,65.74662017822266,90.14055633544922,131.5625457763672,282.84075927734375
2023-10-30,70.87159729003906,67.69496154785156,90.28617858886719,134.36557006835938,285.4347229003906
2023-10-31,72.00369262695312,67.95800018310547,91.79096221923828,133.69322204589844,289.7156982421875
